"model_name","formula","disp","aic","k","convergence","pdhess","max_gradient","pass_check","delta_aic","rmse","mre","mae","r2","mean_bias"
"liver_12","P_LIVLIPID ~ poly(DISTELL_LIVER, 1) + (1 | UNIQUE_HAUL) + (1 |     YEAR_FAC) + (0 + LENGTH_CM | SPECIES)","~log(LENGTH_CM)",-135.03,7,0,TRUE,6.52614455427525e-05,TRUE,0,0.133075580513159,0.511903783511987,0.0983325994458629,0.451078449273015,0.0238505007454654
"liver_13","P_LIVLIPID ~ poly(DISTELL_LIVER, 2) + (1 | UNIQUE_HAUL) + (1 |     YEAR_FAC) + (0 + LENGTH_CM | SPECIES)","~log(LENGTH_CM)",-134.17,8,0,TRUE,4.86803752863807e-08,TRUE,0.860000000000014,0.133368117318327,0.514277599715568,0.0993159648174116,0.450176508399179,0.0247634911886198
"liver_3","P_LIVLIPID ~ poly(DISTELL_LIVER, 2) + (1 | UNIQUE_HAUL) + (1 |     YEAR_FAC) + (0 + LENGTH_CM | SPECIES)","~1",-111.69,7,0,TRUE,2.89828260445768e-05,TRUE,23.34,0.123600424513386,0.434671543973375,0.0941495030574395,0.506535243703519,-0.00275154310514696
"liver_2","P_LIVLIPID ~ poly(DISTELL_LIVER, 1) + (1 | UNIQUE_HAUL) + (1 |     YEAR_FAC) + (0 + LENGTH_CM | SPECIES)","~1",-111.23,6,0,TRUE,6.8857334900585e-07,TRUE,23.8,0.124492090604743,0.442818231079126,0.0953605465302182,0.499767190063567,-0.00314347360398139
"liver_7","P_LIVLIPID ~ poly(HSI_PCT, 3) + (1 | UNIQUE_HAUL) + (1 | YEAR_FAC) +     (0 + LENGTH_CM | SPECIES)","~1",-110.09,8,0,TRUE,9.34313030054312e-07,TRUE,24.94,0.130323227796262,0.442998206195458,0.102147456578384,0.451015154556325,-0.0030932220860892
"liver_4","P_LIVLIPID ~ poly(DISTELL_LIVER, 3) + (1 | UNIQUE_HAUL) + (1 |     YEAR_FAC) + (0 + LENGTH_CM | SPECIES)","~1",-109.74,8,0,TRUE,1.33361569162882e-06,TRUE,25.29,0.124641958040755,0.438926696474545,0.0951566966034575,0.49855856720518,-0.00253590264719071
"liver_6","P_LIVLIPID ~ poly(HSI_PCT, 2) + (1 | UNIQUE_HAUL) + (1 | YEAR_FAC) +     (0 + LENGTH_CM | SPECIES)","~1",-108.75,7,0,TRUE,6.75056693655307e-07,TRUE,26.28,0.130941351252206,0.448007256770144,0.103436927455691,0.445877225780758,-0.00324868036962554
"liver_17","P_LIVLIPID ~ poly(HSI_PCT, 3) + (1 | UNIQUE_HAUL) + (1 | YEAR_FAC) +     (0 + LENGTH_CM | SPECIES)","~log(LENGTH_CM)",-108.13,9,0,TRUE,5.62083629064292e-05,TRUE,26.9,0.130352015694601,0.441671360315066,0.102162811198705,0.451023159942157,-0.0018948130897691
"liver_16","P_LIVLIPID ~ poly(HSI_PCT, 2) + (1 | UNIQUE_HAUL) + (1 | YEAR_FAC) +     (0 + LENGTH_CM | SPECIES)","~log(LENGTH_CM)",-107.02,8,0,TRUE,1.65562472187464e-06,TRUE,28.01,0.131054423633048,0.446462351319296,0.103598729731548,0.445176206006316,-0.00247250333922116
"liver_15","P_LIVLIPID ~ poly(HSI_PCT, 1) + (1 | UNIQUE_HAUL) + (1 | YEAR_FAC) +     (0 + LENGTH_CM | SPECIES)","~log(LENGTH_CM)",-101.33,7,0,TRUE,0.000143377239157472,TRUE,33.7,0.136981435627222,0.500457525754426,0.108689854645676,0.393875967331377,-0.00370087581562061
"liver_5","P_LIVLIPID ~ poly(HSI_PCT, 1) + (1 | UNIQUE_HAUL) + (1 | YEAR_FAC) +     (0 + LENGTH_CM | SPECIES)","~1",-100.53,6,0,TRUE,4.25492934913452e-07,TRUE,34.5,0.137000649832667,0.497622219886424,0.108718525645109,0.394840766776958,-0.00348853136191361
"liver_9","P_LIVLIPID ~ poly(LOG_LW_RESID, 2) + (1 | UNIQUE_HAUL) + (1 |     YEAR_FAC) + (0 + LENGTH_CM | SPECIES)","~1",-74.14,7,0,TRUE,2.22541478045457e-06,TRUE,60.89,0.1621781150875,0.618337558541924,0.1368353528445,0.15758672799968,-0.00335132930317401
"liver_10","P_LIVLIPID ~ poly(LOG_LW_RESID, 3) + (1 | UNIQUE_HAUL) + (1 |     YEAR_FAC) + (0 + LENGTH_CM | SPECIES)","~1",-73.8,8,0,TRUE,2.85224039514587e-06,TRUE,61.23,0.161842442394494,0.606327281164989,0.135554613494846,0.165498472816293,-0.00479637246813842
"liver_19","P_LIVLIPID ~ poly(LOG_LW_RESID, 2) + (1 | UNIQUE_HAUL) + (1 |     YEAR_FAC) + (0 + LENGTH_CM | SPECIES)","~log(LENGTH_CM)",-73.16,8,0,TRUE,1.22140915758129e-05,TRUE,61.87,0.162100478542656,0.629619594608235,0.137021193306303,0.153743648601926,-0.00119625692080817
"liver_20","P_LIVLIPID ~ poly(LOG_LW_RESID, 3) + (1 | UNIQUE_HAUL) + (1 |     YEAR_FAC) + (0 + LENGTH_CM | SPECIES)","~log(LENGTH_CM)",-72.49,9,0,TRUE,6.63792606812041e-05,TRUE,62.54,0.161972138135925,0.61808502075063,0.136114068677453,0.160003920568264,-0.00301558828578105
"liver_8","P_LIVLIPID ~ poly(LOG_LW_RESID, 1) + (1 | UNIQUE_HAUL) + (1 |     YEAR_FAC) + (0 + LENGTH_CM | SPECIES)","~1",-71.06,6,0,TRUE,1.08164226222951e-05,TRUE,63.97,0.166678319169849,0.638835563870687,0.140506760790626,0.113411512800679,-0.00280580089747755
"liver_18","P_LIVLIPID ~ poly(LOG_LW_RESID, 1) + (1 | UNIQUE_HAUL) + (1 |     YEAR_FAC) + (0 + LENGTH_CM | SPECIES)","~log(LENGTH_CM)",-70.6,7,0,TRUE,5.40237645452191e-06,TRUE,64.43,0.166635052843671,0.648272927121806,0.140739222085194,0.10948228991383,-0.000463643580296034
"liver_11","P_LIVLIPID ~ 1 + (1 | UNIQUE_HAUL) + (1 | YEAR_FAC) + (0 + LENGTH_CM |     SPECIES)","~log(LENGTH_CM)",-63.94,6,0,TRUE,5.75053274154413e-06,TRUE,71.09,0.171040900621229,0.727357385093724,0.146039365996042,0.0537065114166626,-0.00249545502591012
"liver_1","P_LIVLIPID ~ 1 + (1 | UNIQUE_HAUL) + (1 | YEAR_FAC) + (0 + LENGTH_CM |     SPECIES)","~1",-63.84,5,0,TRUE,3.1895303331253e-06,TRUE,71.19,0.170906911452153,0.718229433901991,0.146043726843741,0.0577977577030658,-0.00559931040084669
